k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356486,1.0,0.3259,0.4916
27,0.106299,6456574,0,13355615,1.0,0.3259,0.4916
28,0.110236,6456574,0,13353492,1.0,0.3259,0.4916
29,0.114173,6456574,0,13347460,1.0,0.326,0.4917
30,0.11811,6456563,11,13328641,1.0,0.3263,0.4921
31,0.122047,6456471,103,13267354,1.0,0.3273,0.4932
32,0.125984,6456151,423,13154467,0.9999,0.3292,0.4953
33,0.129921,6455330,1244,13011136,0.9998,0.3316,0.498
34,0.133858,6453792,2782,12833008,0.9996,0.3346,0.5014
35,0.137795,6450647,5927,12568713,0.9991,0.3392,0.5064
36,0.141732,6444356,12218,12089407,0.9981,0.3477,0.5157
37,0.145669,6434254,22320,11349988,0.9965,0.3618,0.5309
38,0.149606,6418584,37990,10368006,0.9941,0.3824,0.5523
39,0.153543,6392819,63755,9231148,0.9901,0.4092,0.579
40,0.15748,6357617,98957,8212928,0.9847,0.4363,0.6047
41,0.161417,6313415,143159,7366298,0.9778,0.4615,0.6271
42,0.165354,6258084,198490,6625238,0.9693,0.4858,0.6472
43,0.169291,6194325,262249,5993381,0.9594,0.5082,0.6645
44,0.173228,6121918,334656,5433449,0.9482,0.5298,0.6798
45,0.177165,6044860,411714,4942324,0.9362,0.5502,0.6931
46,0.181102,5962765,493809,4503379,0.9235,0.5697,0.7047
47,0.185039,5882517,574057,4130386,0.9111,0.5875,0.7144
48,0.188976,5800736,655838,3799168,0.8984,0.6042,0.7225
49,0.192913,5718426,738148,3515148,0.8857,0.6193,0.7289
50,0.19685,5634972,821602,3259363,0.8727,0.6335,0.7342
51,0.200787,5555629,900945,3040969,0.8605,0.6463,0.7381
52,0.204724,5478553,978021,2847205,0.8485,0.658,0.7412
53,0.208661,5404561,1052013,2679033,0.8371,0.6686,0.7434
54,0.212598,5334985,1121589,2530771,0.8263,0.6783,0.745
55,0.216535,5272076,1184498,2406774,0.8165,0.6866,0.7459
56,0.220472,5213730,1242844,2297722,0.8075,0.6941,0.7465
