k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6444974,12481,11926031,0.9981,0.3508,0.5192
2,0.007874,6348844,108611,8198495,0.9832,0.4364,0.6045
3,0.011811,6240409,217046,6587673,0.9664,0.4865,0.6472
4,0.015748,6139362,318093,5680499,0.9507,0.5194,0.6718
5,0.019685,6043619,413836,5026732,0.9359,0.5459,0.6896
6,0.023622,5954256,503199,4520808,0.9221,0.5684,0.7033
7,0.027559,5867984,589471,4098662,0.9087,0.5888,0.7146
8,0.031496,5786693,670762,3753535,0.8961,0.6066,0.7234
9,0.035433,5707975,749480,3460442,0.8839,0.6226,0.7306
10,0.03937,5634315,823140,3214666,0.8725,0.6367,0.7362
11,0.043307,5563581,893874,3006077,0.8616,0.6492,0.7405
12,0.047244,5497695,959760,2826098,0.8514,0.6605,0.7439
13,0.051181,5437363,1020092,2678031,0.842,0.67,0.7462
14,0.055118,5380177,1077278,2547802,0.8332,0.6786,0.748
15,0.059055,5327646,1129809,2436074,0.825,0.6862,0.7493
16,0.062992,5280555,1176900,2339446,0.8177,0.693,0.7502
17,0.066929,5236526,1220929,2253322,0.8109,0.6991,0.7509
18,0.070866,5195704,1261751,2176845,0.8046,0.7047,0.7514
19,0.074803,5156514,1300941,2106417,0.7985,0.71,0.7517
20,0.07874,5119929,1337526,2043257,0.7929,0.7148,0.7518
21,0.082677,5085153,1372302,1984862,0.7875,0.7193,0.7518
22,0.086614,5051786,1405669,1930617,0.7823,0.7235,0.7518
23,0.090551,5020855,1436600,1882087,0.7775,0.7274,0.7516
24,0.094488,4991315,1466140,1837220,0.773,0.7309,0.7514
25,0.098425,4961827,1495628,1794241,0.7684,0.7344,0.751
