k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355735,1.0,0.3259,0.4916
14,0.055118,6457455,0,13355679,1.0,0.3259,0.4916
15,0.059055,6457455,0,13355299,1.0,0.3259,0.4916
16,0.062992,6457287,168,13350516,1.0,0.326,0.4917
17,0.066929,6457057,398,13327168,0.9999,0.3264,0.4921
18,0.070866,6456641,814,13246302,0.9999,0.3277,0.4936
19,0.074803,6454811,2644,13038802,0.9996,0.3311,0.4975
20,0.07874,6450384,7071,12624535,0.9989,0.3382,0.5053
21,0.082677,6440890,16565,11886976,0.9974,0.3514,0.5197
22,0.086614,6423112,34343,10762188,0.9947,0.3738,0.5433
23,0.090551,6387923,69532,9441566,0.9892,0.4035,0.5732
24,0.094488,6332110,125345,8103529,0.9806,0.4386,0.6061
25,0.098425,6256698,200757,6899649,0.9689,0.4756,0.638
26,0.102362,6165613,291842,5916736,0.9548,0.5103,0.6651
27,0.106299,6063556,393899,5133766,0.939,0.5415,0.6869
28,0.110236,5958767,498688,4516404,0.9228,0.5688,0.7038
29,0.114173,5855590,601865,4023794,0.9068,0.5927,0.7169
30,0.11811,5750359,707096,3610076,0.8905,0.6143,0.7271
31,0.122047,5645980,811475,3255655,0.8743,0.6343,0.7352
32,0.125984,5549616,907839,2972020,0.8594,0.6512,0.741
33,0.129921,5459335,998120,2738216,0.8454,0.666,0.745
34,0.133858,5371793,1085662,2537961,0.8319,0.6791,0.7478
35,0.137795,5290407,1167048,2369271,0.8193,0.6907,0.7495
36,0.141732,5216042,1241413,2228568,0.8078,0.7006,0.7504
37,0.145669,5148553,1308902,2108827,0.7973,0.7094,0.7508
38,0.149606,5087939,1369516,2007027,0.7879,0.7171,0.7509
39,0.153543,5032196,1425259,1919945,0.7793,0.7238,0.7505
40,0.15748,4983404,1474051,1847191,0.7717,0.7296,0.7501
41,0.161417,4940893,1516562,1786087,0.7651,0.7345,0.7495
42,0.165354,4903512,1553943,1733742,0.7594,0.7388,0.7489
43,0.169291,4871679,1585776,1690704,0.7544,0.7424,0.7483
44,0.173228,4843358,1614097,1653462,0.75,0.7455,0.7478
45,0.177165,4819132,1638323,1622857,0.7463,0.7481,0.7472
46,0.181102,4797232,1660223,1596233,0.7429,0.7503,0.7466
47,0.185039,4778318,1679137,1573450,0.74,0.7523,0.7461
48,0.188976,4760542,1696913,1552577,0.7372,0.7541,0.7455
49,0.192913,4744480,1712975,1533736,0.7347,0.7557,0.7451
50,0.19685,4729413,1728042,1516540,0.7324,0.7572,0.7446
51,0.200787,4715776,1741679,1501068,0.7303,0.7585,0.7441
52,0.204724,4702619,1754836,1486248,0.7282,0.7599,0.7437
53,0.208661,4689992,1767463,1472049,0.7263,0.7611,0.7433
54,0.212598,4677958,1779497,1458505,0.7244,0.7623,0.7429
55,0.216535,4666748,1790707,1446280,0.7227,0.7634,0.7425
56,0.220472,4655791,1801664,1434436,0.721,0.7645,0.7421
57,0.224409,4645747,1811708,1423510,0.7194,0.7655,0.7417
58,0.228346,4635954,1821501,1412871,0.7179,0.7664,0.7414
59,0.232283,4626248,1831207,1402694,0.7164,0.7673,0.741
60,0.23622,4616726,1840729,1392831,0.7149,0.7682,0.7406
61,0.240157,4607913,1849542,1383706,0.7136,0.7691,0.7403
62,0.244094,4599167,1858288,1374667,0.7122,0.7699,0.7399
63,0.248031,4590538,1866917,1365848,0.7109,0.7707,0.7396
64,0.251968,4582152,1875303,1357354,0.7096,0.7715,0.7392
65,0.255905,4574306,1883149,1349463,0.7084,0.7722,0.7389
66,0.259842,4566634,1890821,1341686,0.7072,0.7729,0.7386
67,0.263779,4559168,1898287,1334016,0.706,0.7736,0.7383
68,0.267716,4551786,1905669,1326514,0.7049,0.7743,0.738
69,0.271653,4544719,1912736,1319504,0.7038,0.775,0.7377
70,0.27559,4537574,1919881,1312568,0.7027,0.7756,0.7374
71,0.279527,4530589,1926866,1305583,0.7016,0.7763,0.7371
72,0.283464,4523730,1933725,1298808,0.7005,0.7769,0.7368
73,0.287401,4516983,1940472,1292096,0.6995,0.7776,0.7365
74,0.291338,4510455,1947000,1285698,0.6985,0.7782,0.7362
75,0.295275,4503679,1953776,1279203,0.6974,0.7788,0.7359
76,0.299212,4497349,1960106,1273110,0.6965,0.7794,0.7356
77,0.303149,4491047,1966408,1266879,0.6955,0.78,0.7353
78,0.307086,4484651,1972804,1260845,0.6945,0.7806,0.735
79,0.311023,4478426,1979029,1254803,0.6935,0.7811,0.7347
80,0.31496,4472364,1985091,1248970,0.6926,0.7817,0.7345
81,0.318897,4466108,1991347,1243208,0.6916,0.7822,0.7341
82,0.322834,4460096,1997359,1237496,0.6907,0.7828,0.7339
83,0.326771,4453999,2003456,1231676,0.6897,0.7834,0.7336
84,0.330708,4447948,2009507,1226094,0.6888,0.7839,0.7333
85,0.334645,4441888,2015567,1220348,0.6879,0.7845,0.733
86,0.338582,4436043,2021412,1214868,0.687,0.785,0.7327
87,0.342519,4430120,2027335,1209408,0.686,0.7855,0.7324
88,0.346456,4424178,2033277,1203964,0.6851,0.7861,0.7321
89,0.350393,4418213,2039242,1198476,0.6842,0.7866,0.7318
90,0.35433,4412320,2045135,1193250,0.6833,0.7871,0.7315
91,0.358267,4406264,2051191,1188033,0.6824,0.7876,0.7312
