k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240808,1.0,0.3259,0.4916
2,0.007874,599088,711,1199679,0.9988,0.3331,0.4995
3,0.011811,595111,4688,1069205,0.9922,0.3576,0.5257
4,0.015748,589260,10539,909542,0.9824,0.3932,0.5616
5,0.019685,580895,18904,773773,0.9685,0.4288,0.5944
6,0.023622,572494,27305,669522,0.9545,0.4609,0.6217
7,0.027559,563811,35988,586693,0.94,0.4901,0.6442
8,0.031496,555393,44406,523652,0.926,0.5147,0.6616
9,0.035433,547152,52647,472517,0.9122,0.5366,0.6757
10,0.03937,539488,60311,431686,0.8994,0.5555,0.6868
11,0.043307,532235,67564,398636,0.8874,0.5718,0.6954
12,0.047244,525322,74477,370416,0.8758,0.5865,0.7025
13,0.051181,519083,80716,346714,0.8654,0.5995,0.7084
14,0.055118,513084,86715,325868,0.8554,0.6116,0.7132
15,0.059055,507509,92290,307984,0.8461,0.6223,0.7172
16,0.062992,502414,97385,292609,0.8376,0.6319,0.7204
17,0.066929,497610,102189,279023,0.8296,0.6407,0.723
18,0.070866,493122,106677,266709,0.8221,0.649,0.7254
19,0.074803,488809,110990,255749,0.815,0.6565,0.7272
20,0.07874,484801,114998,245917,0.8083,0.6635,0.7287
21,0.082677,481049,118750,237074,0.802,0.6699,0.73
22,0.086614,477365,122434,228950,0.7959,0.6759,0.731
23,0.090551,473958,125841,221939,0.7902,0.6811,0.7316
24,0.094488,470722,129077,215495,0.7848,0.686,0.7321
25,0.098425,467584,132215,209374,0.7796,0.6907,0.7325
26,0.102362,464573,135226,203827,0.7745,0.6951,0.7327
27,0.106299,461769,138030,198741,0.7699,0.6991,0.7328
28,0.110236,459066,140733,194126,0.7654,0.7028,0.7328
29,0.114173,456634,143165,189869,0.7613,0.7063,0.7328
30,0.11811,454170,145629,185797,0.7572,0.7097,0.7327
31,0.122047,451794,148005,181697,0.7532,0.7132,0.7327
32,0.125984,449534,150265,178124,0.7495,0.7162,0.7325
33,0.129921,447417,152382,174777,0.7459,0.7191,0.7323
34,0.133858,445250,154549,171508,0.7423,0.7219,0.732
35,0.137795,443327,156472,168522,0.7391,0.7246,0.7318
36,0.141732,441380,158419,165823,0.7359,0.7269,0.7314
37,0.145669,439578,160221,163110,0.7329,0.7294,0.7311
38,0.149606,437836,161963,160468,0.73,0.7318,0.7309
39,0.153543,436021,163778,157952,0.7269,0.7341,0.7305
40,0.15748,434401,165398,155610,0.7242,0.7363,0.7302
41,0.161417,432803,166996,153350,0.7216,0.7384,0.7299
42,0.165354,431137,168662,151193,0.7188,0.7404,0.7294
43,0.169291,429529,170270,149200,0.7161,0.7422,0.7289
44,0.173228,427959,171840,147175,0.7135,0.7441,0.7285
45,0.177165,426460,173339,145269,0.711,0.7459,0.728
46,0.181102,424945,174854,143438,0.7085,0.7476,0.7275
47,0.185039,423542,176257,141723,0.7061,0.7493,0.7271
48,0.188976,422187,177612,139989,0.7039,0.751,0.7267
49,0.192913,420828,178971,138332,0.7016,0.7526,0.7262
50,0.19685,419502,180297,136794,0.6994,0.7541,0.7257
51,0.200787,418244,181555,135230,0.6973,0.7557,0.7253
52,0.204724,417027,182772,133664,0.6953,0.7573,0.725
53,0.208661,415769,184030,132163,0.6932,0.7588,0.7245
54,0.212598,414496,185303,130674,0.6911,0.7603,0.724
55,0.216535,413196,186603,129365,0.6889,0.7616,0.7234
56,0.220472,411965,187834,127954,0.6868,0.763,0.7229
57,0.224409,410809,188990,126623,0.6849,0.7644,0.7225
58,0.228346,409626,190173,125342,0.6829,0.7657,0.722
59,0.232283,408400,191399,124006,0.6809,0.7671,0.7214
60,0.23622,407237,192562,122717,0.679,0.7684,0.7209
61,0.240157,406163,193636,121510,0.6772,0.7697,0.7205
62,0.244094,405119,194680,120289,0.6754,0.7711,0.7201
63,0.248031,404036,195763,119166,0.6736,0.7722,0.7196
64,0.251968,402931,196868,118016,0.6718,0.7735,0.719
65,0.255905,401845,197954,116878,0.67,0.7747,0.7185
66,0.259842,400765,199034,115860,0.6682,0.7757,0.7179
67,0.263779,399720,200079,114790,0.6664,0.7769,0.7174
68,0.267716,398645,201154,113743,0.6646,0.778,0.7169
69,0.271653,397629,202170,112775,0.6629,0.779,0.7163
70,0.27559,396594,203205,111776,0.6612,0.7801,0.7158
71,0.279527,395622,204177,110819,0.6596,0.7812,0.7153
72,0.283464,394672,205127,109875,0.658,0.7822,0.7148
73,0.287401,393631,206168,108889,0.6563,0.7833,0.7142
74,0.291338,392600,207199,107960,0.6546,0.7843,0.7136
75,0.295275,391616,208183,107007,0.6529,0.7854,0.7131
76,0.299212,390660,209139,106086,0.6513,0.7864,0.7125
77,0.303149,389671,210128,105242,0.6497,0.7874,0.7119
78,0.307086,388691,211108,104320,0.648,0.7884,0.7114
79,0.311023,387810,211989,103447,0.6466,0.7894,0.7109
80,0.31496,386923,212876,102646,0.6451,0.7903,0.7104
81,0.318897,386012,213787,101765,0.6436,0.7914,0.7099
82,0.322834,385127,214672,100911,0.6421,0.7924,0.7094
83,0.326771,384187,215612,100100,0.6405,0.7933,0.7088
84,0.330708,383320,216479,99311,0.6391,0.7942,0.7083
85,0.334645,382412,217387,98483,0.6376,0.7952,0.7077
