k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355735,1.0,0.3259,0.4916
14,0.055118,6457455,0,13355735,1.0,0.3259,0.4916
15,0.059055,6457453,2,13355398,1.0,0.3259,0.4916
16,0.062992,6457445,10,13353717,1.0,0.3259,0.4916
17,0.066929,6457400,55,13340779,1.0,0.3262,0.4919
18,0.070866,6457062,393,13286622,0.9999,0.327,0.4929
19,0.074803,6455489,1966,13102374,0.9997,0.3301,0.4963
20,0.07874,6449999,7456,12591158,0.9988,0.3387,0.5059
21,0.082677,6433422,24033,11450431,0.9963,0.3597,0.5286
22,0.086614,6389599,67856,9782911,0.9895,0.3951,0.5647
23,0.090551,6311884,145571,8091315,0.9775,0.4382,0.6051
24,0.094488,6200696,256759,6654013,0.9602,0.4824,0.6422
25,0.098425,6061971,395484,5505763,0.9388,0.524,0.6726
26,0.102362,5919241,538214,4653713,0.9167,0.5598,0.6951
27,0.106299,5782513,674942,4015886,0.8955,0.5901,0.7114
28,0.110236,5652166,805289,3517660,0.8753,0.6164,0.7234
29,0.114173,5531367,926088,3129740,0.8566,0.6386,0.7317
30,0.11811,5414769,1042686,2811850,0.8385,0.6582,0.7375
31,0.122047,5309961,1147494,2561075,0.8223,0.6746,0.7412
32,0.125984,5212566,1244889,2348174,0.8072,0.6894,0.7437
33,0.129921,5128946,1328509,2184398,0.7943,0.7013,0.7449
34,0.133858,5053014,1404441,2048033,0.7825,0.7116,0.7454
35,0.137795,4987630,1469825,1934692,0.7724,0.7205,0.7455
36,0.141732,4930678,1526777,1841365,0.7636,0.7281,0.7454
37,0.145669,4881739,1575716,1764250,0.756,0.7345,0.7451
38,0.149606,4839952,1617503,1699546,0.7495,0.7401,0.7448
39,0.153543,4803374,1654081,1644768,0.7438,0.7449,0.7444
40,0.15748,4772562,1684893,1600114,0.7391,0.7489,0.744
41,0.161417,4746609,1710846,1564383,0.7351,0.7521,0.7435
42,0.165354,4723774,1733681,1534273,0.7315,0.7548,0.743
43,0.169291,4704003,1753452,1509370,0.7285,0.7571,0.7425
44,0.173228,4686007,1771448,1487521,0.7257,0.759,0.742
45,0.177165,4669980,1787475,1468071,0.7232,0.7608,0.7415
46,0.181102,4654908,1802547,1450278,0.7209,0.7625,0.7411
47,0.185039,4641092,1816363,1434006,0.7187,0.764,0.7406
48,0.188976,4628054,1829401,1418832,0.7167,0.7654,0.7402
49,0.192913,4616096,1841359,1404982,0.7148,0.7667,0.7398
50,0.19685,4604518,1852937,1391765,0.7131,0.7679,0.7395
51,0.200787,4593692,1863763,1379798,0.7114,0.769,0.7391
52,0.204724,4583614,1873841,1368186,0.7098,0.7701,0.7387
53,0.208661,4573688,1883767,1356956,0.7083,0.7712,0.7384
54,0.212598,4563961,1893494,1346293,0.7068,0.7722,0.738
55,0.216535,4554629,1902826,1336440,0.7053,0.7731,0.7377
56,0.220472,4545770,1911685,1326857,0.704,0.7741,0.7373
57,0.224409,4537394,1920061,1318119,0.7027,0.7749,0.737
58,0.228346,4529258,1928197,1309476,0.7014,0.7757,0.7367
59,0.232283,4521317,1936138,1300986,0.7002,0.7766,0.7364
60,0.23622,4513477,1943978,1292699,0.699,0.7774,0.7361
61,0.240157,4506133,1951322,1284833,0.6978,0.7781,0.7358
62,0.244094,4498895,1958560,1277241,0.6967,0.7789,0.7355
63,0.248031,4491770,1965685,1269835,0.6956,0.7796,0.7352
64,0.251968,4484809,1972646,1262704,0.6945,0.7803,0.7349
65,0.255905,4478081,1979374,1255903,0.6935,0.781,0.7346
66,0.259842,4471485,1985970,1249120,0.6925,0.7816,0.7344
67,0.263779,4465028,1992427,1242514,0.6915,0.7823,0.7341
68,0.267716,4458543,1998912,1236024,0.6904,0.7829,0.7338
69,0.271653,4452444,2005011,1229999,0.6895,0.7835,0.7335
70,0.27559,4446266,2011189,1223742,0.6885,0.7842,0.7333
71,0.279527,4440185,2017270,1217523,0.6876,0.7848,0.733
72,0.283464,4434121,2023334,1211563,0.6867,0.7854,0.7327
73,0.287401,4428247,2029208,1205587,0.6858,0.786,0.7325
74,0.291338,4422494,2034961,1199934,0.6849,0.7866,0.7322
75,0.295275,4416581,2040874,1194119,0.684,0.7872,0.7319
76,0.299212,4410806,2046649,1188546,0.6831,0.7877,0.7317
77,0.303149,4404980,2052475,1183063,0.6822,0.7883,0.7314
78,0.307086,4399224,2058231,1177608,0.6813,0.7888,0.7311
79,0.311023,4393489,2063966,1172253,0.6804,0.7894,0.7308
80,0.31496,4387915,2069540,1166994,0.6795,0.7899,0.7306
81,0.318897,4382333,2075122,1161682,0.6786,0.7905,0.7303
82,0.322834,4376809,2080646,1156415,0.6778,0.791,0.73
83,0.326771,4371073,2086382,1151209,0.6769,0.7915,0.7297
84,0.330708,4365476,2091979,1146259,0.676,0.792,0.7295
85,0.334645,4359829,2097626,1141106,0.6752,0.7926,0.7292
86,0.338582,4354312,2103143,1136086,0.6743,0.7931,0.7289
87,0.342519,4348820,2108635,1131008,0.6735,0.7936,0.7286
88,0.346456,4343251,2114204,1126015,0.6726,0.7941,0.7283
89,0.350393,4337672,2119783,1121078,0.6717,0.7946,0.728
90,0.35433,4332182,2125273,1116304,0.6709,0.7951,0.7277
91,0.358267,4326829,2130626,1111504,0.6701,0.7956,0.7275
92,0.362204,4321351,2136104,1106503,0.6692,0.7961,0.7272
93,0.366141,4315771,2141684,1101654,0.6683,0.7966,0.7269
94,0.370078,4310305,2147150,1096737,0.6675,0.7972,0.7266
95,0.374015,4304780,2152675,1091967,0.6666,0.7977,0.7263
96,0.377952,4299012,2158443,1087056,0.6657,0.7982,0.726
97,0.381889,4293206,2164249,1082096,0.6648,0.7987,0.7256
98,0.385826,4287629,2169826,1077370,0.664,0.7992,0.7253
99,0.389763,4282055,2175400,1072530,0.6631,0.7997,0.725
100,0.3937,4276420,2181035,1067690,0.6622,0.8002,0.7247
101,0.397637,4270654,2186801,1062800,0.6614,0.8007,0.7244
102,0.401574,4264973,2192482,1058065,0.6605,0.8012,0.7241
103,0.405511,4259187,2198268,1053244,0.6596,0.8017,0.7237
104,0.409448,4253425,2204030,1048268,0.6587,0.8023,0.7234
105,0.413385,4247502,2209953,1043488,0.6578,0.8028,0.7231
106,0.417322,4241615,2215840,1038553,0.6569,0.8033,0.7227
107,0.421259,4235611,2221844,1033522,0.6559,0.8039,0.7224
108,0.425196,4229501,2227954,1028699,0.655,0.8044,0.722
109,0.429133,4223157,2234298,1023859,0.654,0.8049,0.7216
110,0.43307,4216874,2240581,1018765,0.653,0.8054,0.7213
111,0.437007,4210457,2246998,1013653,0.652,0.806,0.7209
112,0.440944,4203831,2253624,1008326,0.651,0.8065,0.7205
113,0.444881,4197153,2260302,1003060,0.65,0.8071,0.7201
114,0.448818,4190211,2267244,997597,0.6489,0.8077,0.7196
115,0.452755,4182835,2274620,992015,0.6478,0.8083,0.7192
116,0.456692,4175206,2282249,986164,0.6466,0.8089,0.7187
117,0.460629,4167260,2290195,980063,0.6453,0.8096,0.7182
118,0.464566,4158815,2298640,973764,0.644,0.8103,0.7177
119,0.468503,4150091,2307364,967205,0.6427,0.811,0.7171
120,0.47244,4141065,2316390,960312,0.6413,0.8118,0.7165
121,0.476377,4131340,2326115,952985,0.6398,0.8126,0.7159
122,0.480314,4120961,2336494,945314,0.6382,0.8134,0.7152
123,0.484251,4109735,2347720,937052,0.6364,0.8143,0.7145
124,0.488188,4097391,2360064,927930,0.6345,0.8153,0.7137
125,0.492125,4083425,2374030,917466,0.6324,0.8165,0.7127
126,0.496062,4067051,2390404,905300,0.6298,0.8179,0.7117
127,0.5,4046286,2411169,889560,0.6266,0.8198,0.7103
128,0.503937,4009604,2447851,856245,0.6209,0.824,0.7082
129,0.507874,3966415,2491040,819973,0.6142,0.8287,0.7055
130,0.511811,3925784,2531671,789098,0.6079,0.8326,0.7028
131,0.515748,3889122,2568333,764090,0.6023,0.8358,0.7001
132,0.519685,3855145,2602310,742605,0.597,0.8385,0.6974
