k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4155280795,0,10762484800,1.0,0.2785,0.4357
2,0.007874,4155280795,0,10762484800,1.0,0.2785,0.4357
3,0.011811,4155280795,0,10762484800,1.0,0.2785,0.4357
4,0.015748,4155280795,0,10762484800,1.0,0.2785,0.4357
5,0.019685,4155280795,0,10762484800,1.0,0.2785,0.4357
6,0.023622,4155280795,0,10762484800,1.0,0.2785,0.4357
7,0.027559,4155280795,0,10762484800,1.0,0.2785,0.4357
8,0.031496,4155280795,0,10762484800,1.0,0.2785,0.4357
9,0.035433,4155280795,0,10762482071,1.0,0.2785,0.4357
10,0.03937,4155269217,11578,10761983164,1.0,0.2786,0.4357
11,0.043307,4154894076,386719,10751267414,0.9999,0.2787,0.4359
12,0.047244,4151110137,4170658,10615824392,0.999,0.2811,0.4388
13,0.051181,4129992390,25288405,9743390407,0.9939,0.2977,0.4582
14,0.055118,4063830069,91450726,7793085897,0.978,0.3427,0.5076
15,0.059055,3965879156,189401639,5873330443,0.9544,0.4031,0.5668
16,0.062992,3862077079,293203716,4565473746,0.9294,0.4583,0.6139
17,0.066929,3760606964,394673831,3687570678,0.905,0.5049,0.6482
18,0.070866,3665221414,490059381,3062446226,0.8821,0.5448,0.6736
19,0.074803,3570190249,585090546,2515352598,0.8592,0.5867,0.6972
20,0.07874,3472636879,682643916,2009633978,0.8357,0.6334,0.7206
21,0.082677,3373453216,781827579,1622442833,0.8118,0.6752,0.7373
22,0.086614,3291448795,863832000,1390028717,0.7921,0.7031,0.7449
23,0.090551,3242943199,912337596,1282937201,0.7804,0.7165,0.7471
24,0.094488,3215593449,939687346,1228730175,0.7739,0.7235,0.7478
25,0.098425,3195252240,960028555,1190357271,0.769,0.7286,0.7482
26,0.102362,3178272712,977008083,1160281877,0.7649,0.7326,0.7484
27,0.106299,3163294193,991986602,1135215368,0.7613,0.7359,0.7484
28,0.110236,3149748064,1005532731,1113501867,0.758,0.7388,0.7483
29,0.114173,3137452809,1017827986,1094496798,0.7551,0.7414,0.7481
30,0.11811,3125787284,1029493511,1076985436,0.7522,0.7437,0.748
31,0.122047,3114661115,1040619680,1060771540,0.7496,0.7459,0.7478
32,0.125984,3104842899,1050437896,1046838702,0.7472,0.7479,0.7475
33,0.129921,3095973253,1059307542,1034540588,0.7451,0.7495,0.7473
34,0.133858,3087480420,1067800375,1022989430,0.743,0.7511,0.7471
35,0.137795,3079571794,1075709001,1012467825,0.7411,0.7526,0.7468
36,0.141732,3072182441,1083098354,1002842102,0.7393,0.7539,0.7466
37,0.145669,3065247516,1090033279,993968733,0.7377,0.7551,0.7463
38,0.149606,3058706436,1096574359,985728544,0.7361,0.7563,0.7461
39,0.153543,3052327482,1102953313,977802203,0.7346,0.7574,0.7458
40,0.15748,3046270589,1109010206,970373921,0.7331,0.7584,0.7455
41,0.161417,3040517889,1114762906,963395326,0.7317,0.7594,0.7453
42,0.165354,3034852943,1120427852,956597426,0.7304,0.7603,0.745
43,0.169291,3029453358,1125827437,950187968,0.7291,0.7612,0.7448
44,0.173228,3024128116,1131152679,943934733,0.7278,0.7621,0.7446
45,0.177165,3019048587,1136232208,938031114,0.7266,0.7629,0.7443
46,0.181102,3014038865,1141241930,932261623,0.7254,0.7638,0.7441
47,0.185039,3009268165,1146012630,926823241,0.7242,0.7645,0.7438
48,0.188976,3004556827,1150723968,921505504,0.7231,0.7653,0.7436
49,0.192913,3000072701,1155208094,916493944,0.722,0.766,0.7433
50,0.19685,2995642988,1159637807,911582672,0.7209,0.7667,0.7431
51,0.200787,2991433449,1163847346,906955931,0.7199,0.7674,0.7429
52,0.204724,2987269572,1168011223,902414741,0.7189,0.768,0.7426
53,0.208661,2983145796,1172134999,897956988,0.7179,0.7686,0.7424
54,0.212598,2979060806,1176219989,893568666,0.7169,0.7693,0.7422
55,0.216535,2975171078,1180109717,889424025,0.716,0.7699,0.7419
56,0.220472,2971308422,1183972373,885337303,0.7151,0.7704,0.7417
57,0.224409,2967629311,1187651484,881476762,0.7142,0.771,0.7415
58,0.228346,2963975076,1191305719,877667489,0.7133,0.7715,0.7413
59,0.232283,2960342801,1194937994,873904076,0.7124,0.7721,0.7411
60,0.23622,2956735042,1198545753,870183574,0.7116,0.7726,0.7408
61,0.240157,2953299568,1201981227,866669361,0.7107,0.7731,0.7406
62,0.244094,2949877033,1205403762,863193010,0.7099,0.7736,0.7404
63,0.248031,2946472819,1208807976,859757190,0.7091,0.7741,0.7402
64,0.251968,2943085301,1212195494,856356040,0.7083,0.7746,0.74
65,0.255905,2939866895,1215413900,853145239,0.7075,0.7751,0.7397
66,0.259842,2936659125,1218621670,849962298,0.7067,0.7755,0.7395
67,0.263779,2933470586,1221810209,846810701,0.706,0.776,0.7393
68,0.267716,2930296947,1224983848,843691404,0.7052,0.7764,0.7391
69,0.271653,2927247492,1228033303,840711239,0.7045,0.7769,0.7389
70,0.27559,2924177770,1231103025,837727527,0.7037,0.7773,0.7387
71,0.279527,2921197074,1234083721,834846531,0.703,0.7777,0.7385
72,0.283464,2918231370,1237049425,831994594,0.7023,0.7781,0.7383
73,0.287401,2915280383,1240000412,829173609,0.7016,0.7786,0.7381
74,0.291338,2912417693,1242863102,826453650,0.7009,0.779,0.7379
75,0.295275,2909501629,1245779166,823698863,0.7002,0.7794,0.7377
76,0.299212,2906745643,1248535152,821108065,0.6995,0.7797,0.7375
77,0.303149,2903933335,1251347460,818474506,0.6989,0.7801,0.7373
78,0.307086,2901209481,1254071314,815938369,0.6982,0.7805,0.7371
79,0.311023,2898501379,1256779416,813427809,0.6975,0.7809,0.7369
80,0.31496,2895877788,1259403007,811008923,0.6969,0.7812,0.7367
81,0.318897,2893195796,1262084999,808548171,0.6963,0.7816,0.7365
82,0.322834,2890597105,1264683690,806171323,0.6956,0.7819,0.7363
83,0.326771,2888007224,1267273571,803813807,0.695,0.7823,0.7361
84,0.330708,2885493165,1269787630,801537216,0.6944,0.7826,0.7359
85,0.334645,2882913951,1272366844,799214437,0.6938,0.7829,0.7357
86,0.338582,2880411789,1274869006,796968526,0.6932,0.7833,0.7355
87,0.342519,2877918157,1277362638,794739360,0.6926,0.7836,0.7353
88,0.346456,2875427214,1279853581,792524725,0.692,0.7839,0.7351
89,0.350393,2872942319,1282338476,790321772,0.6914,0.7843,0.7349
90,0.35433,2870530098,1284750697,788191015,0.6908,0.7846,0.7347
91,0.358267,2868119177,1287161618,786070826,0.6902,0.7849,0.7345
92,0.362204,2865711401,1289569394,783965196,0.6897,0.7852,0.7343
93,0.366141,2863307317,1291973478,781865459,0.6891,0.7855,0.7341
94,0.370078,2860902421,1294378374,779776395,0.6885,0.7858,0.7339
95,0.374015,2858565190,1296715605,777757575,0.6879,0.7861,0.7338
96,0.377952,2856157373,1299123422,775683026,0.6874,0.7864,0.7336
97,0.381889,2853836957,1301443838,773685538,0.6868,0.7867,0.7334
98,0.385826,2851493583,1303787212,771679951,0.6862,0.787,0.7332
99,0.389763,2849150124,1306130671,769676406,0.6857,0.7873,0.733
100,0.3937,2846799883,1308480912,767678655,0.6851,0.7876,0.7328
101,0.397637,2844440446,1310840349,765680650,0.6845,0.7879,0.7326
102,0.401574,2842105990,1313174805,763708935,0.684,0.7882,0.7324
103,0.405511,2839760625,1315520170,761735111,0.6834,0.7885,0.7322
104,0.409448,2837398838,1317881957,759757117,0.6828,0.7888,0.732
105,0.413385,2835014279,1320266516,757769309,0.6823,0.7891,0.7318
106,0.417322,2832644625,1322636170,755802334,0.6817,0.7894,0.7316
107,0.421259,2830208418,1325072377,753786204,0.6811,0.7897,0.7314
108,0.425196,2827774874,1327505921,751781470,0.6805,0.79,0.7312
109,0.429133,2825296812,1329983983,749749425,0.6799,0.7903,0.731
110,0.43307,2822809477,1332471318,747720401,0.6793,0.7906,0.7307
111,0.437007,2820229996,1335050799,745619853,0.6787,0.7909,0.7305
112,0.440944,2817584505,1337696290,743473465,0.6781,0.7912,0.7303
113,0.444881,2814910080,1340370715,741313759,0.6774,0.7915,0.7301
114,0.448818,2812193893,1343086902,739129937,0.6768,0.7919,0.7298
115,0.452755,2809379700,1345901095,736871959,0.6761,0.7922,0.7296
116,0.456692,2806488772,1348792023,734566773,0.6754,0.7926,0.7293
117,0.460629,2803473987,1351806808,732170622,0.6747,0.7929,0.729
