k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355735,1.0,0.3259,0.4916
14,0.055118,6457455,0,13355735,1.0,0.3259,0.4916
15,0.059055,6457455,0,13355735,1.0,0.3259,0.4916
16,0.062992,6457455,0,13355735,1.0,0.3259,0.4916
17,0.066929,6457455,0,13355735,1.0,0.3259,0.4916
18,0.070866,6457455,0,13355735,1.0,0.3259,0.4916
19,0.074803,6457455,0,13355735,1.0,0.3259,0.4916
20,0.07874,6457455,0,13355735,1.0,0.3259,0.4916
21,0.082677,6457455,0,13355735,1.0,0.3259,0.4916
22,0.086614,6457455,0,13355735,1.0,0.3259,0.4916
23,0.090551,6457455,0,13355735,1.0,0.3259,0.4916
24,0.094488,6457455,0,13355735,1.0,0.3259,0.4916
25,0.098425,6457455,0,13355735,1.0,0.3259,0.4916
26,0.102362,6457455,0,13355735,1.0,0.3259,0.4916
27,0.106299,6457455,0,13355735,1.0,0.3259,0.4916
28,0.110236,6457455,0,13355735,1.0,0.3259,0.4916
29,0.114173,6457455,0,13355735,1.0,0.3259,0.4916
30,0.11811,6457455,0,13355734,1.0,0.3259,0.4916
31,0.122047,6457455,0,13355254,1.0,0.3259,0.4916
32,0.125984,6457455,0,13353248,1.0,0.326,0.4917
33,0.129921,6457447,8,13346356,1.0,0.3261,0.4918
34,0.133858,6457420,35,13322147,1.0,0.3265,0.4922
35,0.137795,6457294,161,13269947,1.0,0.3273,0.4932
36,0.141732,6456943,512,13176276,0.9999,0.3289,0.495
37,0.145669,6456240,1215,13035759,0.9998,0.3312,0.4976
38,0.149606,6454882,2573,12858054,0.9996,0.3342,0.501
39,0.153543,6452495,4960,12629155,0.9992,0.3382,0.5053
40,0.15748,6448745,8710,12337992,0.9987,0.3433,0.5109
41,0.161417,6442793,14662,11960889,0.9977,0.3501,0.5183
42,0.165354,6433132,24323,11493901,0.9962,0.3589,0.5276
43,0.169291,6420005,37450,10940916,0.9942,0.3698,0.5391
44,0.173228,6402101,55354,10315954,0.9914,0.3829,0.5525
45,0.177165,6378790,78665,9672353,0.9878,0.3974,0.5668
46,0.181102,6350345,107110,9011244,0.9834,0.4134,0.5821
47,0.185039,6316381,141074,8380416,0.9782,0.4298,0.5972
48,0.188976,6275401,182054,7789969,0.9718,0.4462,0.6116
49,0.192913,6230805,226650,7264923,0.9649,0.4617,0.6245
50,0.19685,6180485,276970,6771939,0.9571,0.4772,0.6368
51,0.200787,6127420,330035,6327236,0.9489,0.492,0.648
52,0.204724,6069162,388293,5915319,0.9399,0.5064,0.6582
53,0.208661,6008876,448579,5535012,0.9305,0.5205,0.6676
54,0.212598,5945980,511475,5184834,0.9208,0.5342,0.6761
55,0.216535,5885468,571987,4872308,0.9114,0.5471,0.6838
56,0.220472,5824986,632469,4588105,0.9021,0.5594,0.6906
57,0.224409,5767474,689981,4338684,0.8931,0.5707,0.6964
58,0.228346,5711949,745506,4112846,0.8846,0.5814,0.7016
59,0.232283,5657557,799898,3908701,0.8761,0.5914,0.7061
60,0.23622,5605139,852316,3724391,0.868,0.6008,0.7101
61,0.240157,5557197,900258,3566292,0.8606,0.6091,0.7133
62,0.244094,5512437,945018,3428911,0.8537,0.6165,0.716
63,0.248031,5473062,984393,3313743,0.8476,0.6229,0.718
64,0.251968,5439466,1017989,3219656,0.8424,0.6282,0.7197
65,0.255905,5413005,1044450,3149147,0.8383,0.6322,0.7208
66,0.259842,5390066,1067389,3092766,0.8347,0.6354,0.7215
67,0.263779,5370654,1086801,3045933,0.8317,0.6381,0.7222
68,0.267716,5352973,1104482,3005401,0.829,0.6404,0.7226
69,0.271653,5337790,1119665,2970415,0.8266,0.6425,0.723
70,0.27559,5323164,1134291,2937593,0.8243,0.6444,0.7233
71,0.279527,5309908,1147547,2908326,0.8223,0.6461,0.7236
72,0.283464,5297370,1160085,2880764,0.8203,0.6477,0.7239
73,0.287401,5285387,1172068,2855140,0.8185,0.6493,0.7241
74,0.291338,5273941,1183514,2831191,0.8167,0.6507,0.7243
75,0.295275,5262781,1194674,2807848,0.815,0.6521,0.7245
76,0.299212,5252760,1204695,2786073,0.8134,0.6534,0.7247
77,0.303149,5242569,1214886,2764794,0.8119,0.6547,0.7249
78,0.307086,5232688,1224767,2744683,0.8103,0.6559,0.725
79,0.311023,5223066,1234389,2725063,0.8088,0.6571,0.7251
80,0.31496,5213878,1243577,2706841,0.8074,0.6583,0.7252
81,0.318897,5204654,1252801,2688456,0.806,0.6594,0.7254
82,0.322834,5195941,1261514,2671072,0.8046,0.6605,0.7255
83,0.326771,5187229,1270226,2654002,0.8033,0.6615,0.7256
