k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479590,1.0,0.4071,0.5786
29,0.114173,3761880,0,5479118,1.0,0.4071,0.5786
30,0.11811,3761877,3,5476031,1.0,0.4072,0.5788
31,0.122047,3761859,21,5466488,1.0,0.4076,0.5792
32,0.125984,3761742,138,5448765,1.0,0.4084,0.58
33,0.129921,3761429,451,5417130,0.9999,0.4098,0.5813
34,0.133858,3760722,1158,5353808,0.9997,0.4126,0.5841
35,0.137795,3759519,2361,5237292,0.9994,0.4179,0.5893
36,0.141732,3756501,5379,5059129,0.9986,0.4261,0.5973
37,0.145669,3750790,11090,4808017,0.9971,0.4382,0.6089
38,0.149606,3740094,21786,4498832,0.9942,0.454,0.6233
39,0.153543,3724624,37256,4156107,0.9901,0.4726,0.6398
40,0.15748,3703977,57903,3828502,0.9846,0.4917,0.6559
41,0.161417,3677677,84203,3528032,0.9776,0.5104,0.6706
42,0.165354,3645293,116587,3239443,0.969,0.5295,0.6848
43,0.169291,3609357,152523,2971911,0.9595,0.5484,0.6979
44,0.173228,3568574,193306,2712945,0.9486,0.5681,0.7106
45,0.177165,3523289,238591,2476782,0.9366,0.5872,0.7218
46,0.181102,3473763,288117,2260284,0.9234,0.6058,0.7316
47,0.185039,3423361,338519,2071780,0.91,0.623,0.7396
48,0.188976,3371267,390613,1899924,0.8962,0.6396,0.7464
49,0.192913,3318936,442944,1750995,0.8823,0.6546,0.7516
50,0.19685,3265790,496090,1619495,0.8681,0.6685,0.7553
51,0.200787,3214713,547167,1505366,0.8545,0.6811,0.758
52,0.204724,3163932,597948,1404179,0.8411,0.6926,0.7596
53,0.208661,3114461,647419,1315350,0.8279,0.7031,0.7604
54,0.212598,3066832,695048,1238013,0.8152,0.7124,0.7604
55,0.216535,3024018,737862,1173722,0.8039,0.7204,0.7598
56,0.220472,2983836,778044,1117660,0.7932,0.7275,0.7589
57,0.224409,2948287,813593,1070736,0.7837,0.7336,0.7578
58,0.228346,2916058,845822,1030400,0.7752,0.7389,0.7566
59,0.232283,2887281,874599,996360,0.7675,0.7434,0.7553
60,0.23622,2862170,899710,967721,0.7608,0.7473,0.754
61,0.240157,2841332,920548,944637,0.7553,0.7505,0.7529
62,0.244094,2823329,938551,926078,0.7505,0.753,0.7518
63,0.248031,2807659,954221,910463,0.7463,0.7551,0.7507
64,0.251968,2793737,968143,897098,0.7426,0.7569,0.7497
65,0.255905,2781632,980248,885593,0.7394,0.7585,0.7488
66,0.259842,2770303,991577,875409,0.7364,0.7599,0.748
67,0.263779,2759796,1002084,865767,0.7336,0.7612,0.7472
68,0.267716,2750032,1011848,856882,0.731,0.7624,0.7464
69,0.271653,2741250,1020630,849022,0.7287,0.7635,0.7457
70,0.27559,2732659,1029221,841445,0.7264,0.7646,0.745
71,0.279527,2724367,1037513,834350,0.7242,0.7655,0.7443
72,0.283464,2716225,1045655,827616,0.722,0.7665,0.7436
73,0.287401,2708408,1053472,821168,0.72,0.7673,0.7429
74,0.291338,2701101,1060779,815077,0.718,0.7682,0.7423
75,0.295275,2693899,1067981,809038,0.7161,0.769,0.7416
76,0.299212,2687003,1074877,803491,0.7143,0.7698,0.741
77,0.303149,2680208,1081672,797934,0.7125,0.7706,0.7404
78,0.307086,2673683,1088197,792686,0.7107,0.7713,0.7398
79,0.311023,2667252,1094628,787611,0.709,0.772,0.7392
80,0.31496,2661202,1100678,782825,0.7074,0.7727,0.7386
81,0.318897,2654947,1106933,777957,0.7058,0.7734,0.738
82,0.322834,2649108,1112772,773225,0.7042,0.7741,0.7375
83,0.326771,2643281,1118599,768607,0.7026,0.7747,0.7369
84,0.330708,2637731,1124149,764352,0.7012,0.7753,0.7364
85,0.334645,2632093,1129787,760034,0.6997,0.7759,0.7358
86,0.338582,2626607,1135273,755841,0.6982,0.7765,0.7353
87,0.342519,2621251,1140629,751701,0.6968,0.7771,0.7348
88,0.346456,2615942,1145938,747662,0.6954,0.7777,0.7342
89,0.350393,2610634,1151246,743647,0.694,0.7783,0.7337
90,0.35433,2605439,1156441,739679,0.6926,0.7789,0.7332
91,0.358267,2600292,1161588,735869,0.6912,0.7794,0.7327
92,0.362204,2595079,1166801,732023,0.6898,0.78,0.7321
93,0.366141,2589879,1172001,728316,0.6885,0.7805,0.7316
94,0.370078,2584848,1177032,724640,0.6871,0.781,0.7311
95,0.374015,2579841,1182039,720977,0.6858,0.7816,0.7306
96,0.377952,2574704,1187176,717289,0.6844,0.7821,0.73
97,0.381889,2569500,1192380,713723,0.683,0.7826,0.7294
98,0.385826,2564559,1197321,710147,0.6817,0.7831,0.7289
99,0.389763,2559504,1202376,706519,0.6804,0.7837,0.7284
100,0.3937,2554335,1207545,702940,0.679,0.7842,0.7278
101,0.397637,2549225,1212655,699495,0.6776,0.7847,0.7272
102,0.401574,2544127,1217753,696054,0.6763,0.7852,0.7267
103,0.405511,2539092,1222788,692502,0.675,0.7857,0.7261
104,0.409448,2533965,1227915,688965,0.6736,0.7862,0.7256
105,0.413385,2528713,1233167,685421,0.6722,0.7867,0.725
106,0.417322,2523545,1238335,682034,0.6708,0.7872,0.7244
107,0.421259,2518157,1243723,678440,0.6694,0.7878,0.7238
108,0.425196,2512885,1248995,674884,0.668,0.7883,0.7232
109,0.429133,2507625,1254255,671323,0.6666,0.7888,0.7226
110,0.43307,2502178,1259702,667725,0.6651,0.7894,0.7219
111,0.437007,2496570,1265310,664113,0.6636,0.7899,0.7213
112,0.440944,2491055,1270825,660460,0.6622,0.7904,0.7206
113,0.444881,2485353,1276527,656769,0.6607,0.791,0.72
114,0.448818,2479450,1282430,653043,0.6591,0.7915,0.7193
115,0.452755,2473585,1288295,649129,0.6575,0.7921,0.7186
116,0.456692,2467415,1294465,645273,0.6559,0.7927,0.7178
117,0.460629,2461110,1300770,641370,0.6542,0.7933,0.7171
