k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238463729,0,493343217,1.0,0.3259,0.4915
2,0.007874,238463729,0,493343217,1.0,0.3259,0.4915
3,0.011811,238463729,0,493343217,1.0,0.3259,0.4915
4,0.015748,238463729,0,493343217,1.0,0.3259,0.4915
5,0.019685,238463729,0,493343217,1.0,0.3259,0.4915
6,0.023622,238463729,0,493343217,1.0,0.3259,0.4915
7,0.027559,238463729,0,493343217,1.0,0.3259,0.4915
8,0.031496,238463729,0,493343217,1.0,0.3259,0.4915
9,0.035433,238463729,0,493343217,1.0,0.3259,0.4915
10,0.03937,238463729,0,493343217,1.0,0.3259,0.4915
11,0.043307,238463729,0,493343217,1.0,0.3259,0.4915
12,0.047244,238463729,0,493343217,1.0,0.3259,0.4915
13,0.051181,238463729,0,493343217,1.0,0.3259,0.4915
14,0.055118,238463729,0,493343217,1.0,0.3259,0.4915
15,0.059055,238461294,2435,493332983,1.0,0.3259,0.4915
16,0.062992,233288907,5174822,480461157,0.9783,0.3268,0.49
17,0.066929,184276031,54187698,111950378,0.7728,0.6221,0.6893
18,0.070866,157190645,81273084,40092643,0.6592,0.7968,0.7215
19,0.074803,151188344,87275385,35454907,0.634,0.81,0.7113
20,0.07874,148973005,89490724,33989829,0.6247,0.8142,0.707
21,0.082677,147838661,90625068,33270133,0.62,0.8163,0.7047
22,0.086614,147159318,91304411,32860527,0.6171,0.8175,0.7033
23,0.090551,146699156,91764573,32591152,0.6152,0.8182,0.7023
24,0.094488,146336872,92126857,32381225,0.6137,0.8188,0.7015
25,0.098425,146024388,92439341,32201534,0.6124,0.8193,0.7009
26,0.102362,145758321,92705408,32049455,0.6112,0.8198,0.7003
27,0.106299,145526483,92937246,31917576,0.6103,0.8201,0.6998
28,0.110236,145322182,93141547,31801625,0.6094,0.8205,0.6994
29,0.114173,145140000,93323729,31698888,0.6086,0.8207,0.699
30,0.11811,144969230,93494499,31601555,0.6079,0.821,0.6986
31,0.122047,144813548,93650181,31513692,0.6073,0.8213,0.6982
32,0.125984,144666943,93796786,31430940,0.6067,0.8215,0.6979
33,0.129921,144534406,93929323,31355718,0.6061,0.8217,0.6976
34,0.133858,144406029,94057700,31284098,0.6056,0.8219,0.6974
35,0.137795,144285192,94178537,31216961,0.6051,0.8221,0.6971
36,0.141732,144172522,94291207,31153670,0.6046,0.8223,0.6968
37,0.145669,144065583,94398146,31093890,0.6041,0.8225,0.6966
38,0.149606,143964822,94498907,31037429,0.6037,0.8226,0.6964
39,0.153543,143866427,94597302,30982653,0.6033,0.8228,0.6962
40,0.15748,143772620,94691109,30930577,0.6029,0.823,0.696
41,0.161417,143684046,94779683,30881321,0.6025,0.8231,0.6958
42,0.165354,143596985,94866744,30833009,0.6022,0.8232,0.6956
43,0.169291,143514250,94949479,30786896,0.6018,0.8234,0.6954
44,0.173228,143432909,95030820,30741816,0.6015,0.8235,0.6952
45,0.177165,143355770,95107959,30699164,0.6012,0.8236,0.695
46,0.181102,143279774,95183955,30657180,0.6008,0.8237,0.6949
47,0.185039,143207257,95256472,30617359,0.6005,0.8239,0.6947
48,0.188976,143135457,95328272,30577906,0.6002,0.824,0.6945
49,0.192913,143066762,95396967,30540244,0.6,0.8241,0.6944
50,0.19685,142998658,95465071,30503215,0.5997,0.8242,0.6942
51,0.200787,142934521,95529208,30468160,0.5994,0.8243,0.6941
52,0.204724,142870717,95593012,30433055,0.5991,0.8244,0.6939
53,0.208661,142807038,95656691,30398287,0.5989,0.8245,0.6938
54,0.212598,142743412,95720317,30363471,0.5986,0.8246,0.6937
55,0.216535,142683005,95780724,30330597,0.5983,0.8247,0.6935
56,0.220472,142622684,95841045,30297824,0.5981,0.8248,0.6934
57,0.224409,142565248,95898481,30266207,0.5978,0.8249,0.6933
58,0.228346,142507625,95956104,30234825,0.5976,0.825,0.6931
59,0.232283,142450680,96013049,30203930,0.5974,0.8251,0.693
60,0.23622,142393380,96070349,30173074,0.5971,0.8252,0.6929
61,0.240157,142338627,96125102,30143947,0.5969,0.8252,0.6927
62,0.244094,142284034,96179695,30114215,0.5967,0.8253,0.6926
63,0.248031,142229075,96234654,30085004,0.5964,0.8254,0.6925
64,0.251968,142174004,96289725,30055690,0.5962,0.8255,0.6924
65,0.255905,142121276,96342453,30027501,0.596,0.8256,0.6922
66,0.259842,142068762,96394967,29999294,0.5958,0.8257,0.6921
67,0.263779,142016554,96447175,29971264,0.5955,0.8257,0.692
68,0.267716,141964462,96499267,29943075,0.5953,0.8258,0.6919
69,0.271653,141912333,96551396,29915032,0.5951,0.8259,0.6918
70,0.27559,141860716,96603013,29887398,0.5949,0.826,0.6916
71,0.279527,141810613,96653116,29860792,0.5947,0.8261,0.6915
72,0.283464,141760143,96703586,29833882,0.5945,0.8261,0.6914
73,0.287401,141709219,96754510,29806843,0.5943,0.8262,0.6913
74,0.291338,141659284,96804445,29780535,0.594,0.8263,0.6912
75,0.295275,141608026,96855703,29753244,0.5938,0.8264,0.6911
76,0.299212,141559071,96904658,29727397,0.5936,0.8264,0.691
77,0.303149,141508055,96955674,29700642,0.5934,0.8265,0.6908
78,0.307086,141458476,97005253,29674164,0.5932,0.8266,0.6907
79,0.311023,141408683,97055046,29647719,0.593,0.8267,0.6906
80,0.31496,141360151,97103578,29622125,0.5928,0.8268,0.6905
81,0.318897,141309644,97154085,29595762,0.5926,0.8268,0.6904
82,0.322834,141260577,97203152,29569950,0.5924,0.8269,0.6903
83,0.326771,141210848,97252881,29544013,0.5922,0.827,0.6901
84,0.330708,141162604,97301125,29518591,0.592,0.8271,0.69
85,0.334645,141112813,97350916,29492559,0.5918,0.8271,0.6899
86,0.338582,141063947,97399782,29466635,0.5916,0.8272,0.6898
87,0.342519,141014718,97449011,29440790,0.5913,0.8273,0.6897
88,0.346456,140964973,97498756,29414904,0.5911,0.8274,0.6896
89,0.350393,140914874,97548855,29388883,0.5909,0.8274,0.6895
90,0.35433,140865894,97597835,29363125,0.5907,0.8275,0.6893
91,0.358267,140816414,97647315,29337242,0.5905,0.8276,0.6892
92,0.362204,140766366,97697363,29310921,0.5903,0.8277,0.6891
93,0.366141,140715240,97748489,29284506,0.5901,0.8277,0.689
94,0.370078,140663712,97800017,29257819,0.5899,0.8278,0.6889
95,0.374015,140612948,97850781,29231540,0.5897,0.8279,0.6888
96,0.377952,140560019,97903710,29204110,0.5894,0.828,0.6886
97,0.381889,140508229,97955500,29177514,0.5892,0.828,0.6885
98,0.385826,140454775,98008954,29150365,0.589,0.8281,0.6884
99,0.389763,140400519,98063210,29122960,0.5888,0.8282,0.6883
100,0.3937,140345855,98117874,29094921,0.5885,0.8283,0.6881
101,0.397637,140289991,98173738,29066016,0.5883,0.8284,0.688
102,0.401574,140234767,98228962,29037377,0.5881,0.8285,0.6879
103,0.405511,140177579,98286150,29008040,0.5878,0.8285,0.6877
104,0.409448,140119277,98344452,28977947,0.5876,0.8286,0.6876
105,0.413385,140059394,98404335,28947408,0.5873,0.8287,0.6875
106,0.417322,139999031,98464698,28916581,0.5871,0.8288,0.6873
107,0.421259,139935353,98528376,28884130,0.5868,0.8289,0.6872
108,0.425196,139871380,98592349,28851355,0.5866,0.829,0.687
109,0.429133,139804782,98658947,28816943,0.5863,0.8291,0.6869
110,0.43307,139736731,98726998,28782242,0.586,0.8292,0.6867
111,0.437007,139665129,98798600,28745722,0.5857,0.8293,0.6865
112,0.440944,139590762,98872967,28708365,0.5854,0.8294,0.6863
113,0.444881,139513693,98950036,28669948,0.5851,0.8295,0.6862
114,0.448818,139434762,99028967,28629954,0.5847,0.8296,0.686
115,0.452755,139351500,99112229,28587919,0.5844,0.8298,0.6858
116,0.456692,139265334,99198395,28544767,0.584,0.8299,0.6856
117,0.460629,139174595,99289134,28499443,0.5836,0.83,0.6854
118,0.464566,139078913,99384816,28451718,0.5832,0.8302,0.6851
119,0.468503,138978187,99485542,28401290,0.5828,0.8303,0.6849
120,0.47244,138869543,99594186,28347230,0.5824,0.8305,0.6846
121,0.476377,138751706,99712023,28288080,0.5819,0.8307,0.6843
122,0.480314,138620340,99843389,28222879,0.5813,0.8308,0.684
123,0.484251,138468474,99995255,28146086,0.5807,0.8311,0.6837
124,0.488188,138286390,100177339,28053604,0.5799,0.8313,0.6832
125,0.492125,138057079,100406650,27937588,0.5789,0.8317,0.6827
126,0.496062,137714661,100749068,27761231,0.5775,0.8322,0.6819
127,0.5,136784412,101679317,27246150,0.5736,0.8339,0.6797
128,0.503937,135876832,102586897,26795151,0.5698,0.8353,0.6775
129,0.507874,135127672,103336057,26433398,0.5667,0.8364,0.6756
130,0.511811,134463301,104000428,26114966,0.5639,0.8374,0.6739
131,0.515748,133831033,104632696,25814692,0.5612,0.8383,0.6723
132,0.519685,133203823,105259906,25518390,0.5586,0.8392,0.6707
133,0.523622,132573032,105890697,25222941,0.5559,0.8402,0.6691
134,0.527559,131925342,106538387,24923774,0.5532,0.8411,0.6674
135,0.531496,131264608,107199121,24621418,0.5505,0.8421,0.6657
136,0.535433,130608239,107855490,24327011,0.5477,0.843,0.664
137,0.53937,129970150,108493579,24047663,0.545,0.8439,0.6623
138,0.543307,129325500,109138229,23770426,0.5423,0.8447,0.6606
139,0.547244,128673275,109790454,23492241,0.5396,0.8456,0.6588
140,0.551181,127999844,110463885,23207114,0.5368,0.8465,0.657
141,0.555118,127286566,111177163,22912046,0.5338,0.8475,0.655
142,0.559055,126535985,111927744,22605004,0.5306,0.8484,0.6529
143,0.562992,125731366,112732363,22280853,0.5273,0.8495,0.6507
144,0.566929,124870093,113593636,21938069,0.5236,0.8506,0.6482
145,0.570866,123923817,114539912,21569492,0.5197,0.8517,0.6455
146,0.574803,122897250,115566479,21175297,0.5154,0.853,0.6425
